PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,attributes
-0.09889684188908743,0.1859962596020055,0.7378717124536571,1.0,-1.0,0.21171100638094176,-0.292665784379327,-0.0698757564647744,0.11424812732407785,0.21334478201090956,0.1427038669900531,0.24923858070881066,-0.16273911450572798,0.059939851970205904,0.03859984085227164,-0.12455155085642844,host_listings_count
0.9919729113466396,0.11512868522362707,0.47984819428226655,-0.5617233467473947,-0.2061014276273757,0.3257946808551928,-0.7886855196539215,0.07733104934601709,-0.9763134449093115,-0.13566244648970105,-0.20812583267337637,0.619606802586461,-0.7024500632263906,0.05405094841582958,-1.0,-0.2673256246626605,accommodates
0.8695774118420003,0.28279023254510816,0.2550663898027823,-0.6074464085665552,-0.260356179727003,0.8287497546519293,-0.32252549799302843,0.9999999999999998,1.0000000000000004,-0.6324965520327094,-0.5591403904271047,0.05460971976575135,0.1578984131454102,0.014094916654495693,0.001664133217066599,-0.24425023101398946,bathrooms
0.737228193711728,0.20791436905543725,0.26261564112642066,-0.6751787547184549,-0.33294462629815813,1.0,1.0,0.08131405772991829,-1.0,0.5903773840316731,0.1633257991599657,0.20726591333090205,0.304151216829081,0.0528122579420629,0.0235076643724339,-0.10724471618402209,bedrooms
0.9908040615358489,0.15736091891293635,0.4826429705887645,-0.5485850986225324,-0.2405418730566291,0.2572739525736665,-0.6600829809434876,0.1538499300558347,-0.941009206934381,-0.3093908162251886,-0.3423798045134345,1.0,-0.5390654494336932,0.20715780485158275,1.0000000000000004,0.045080581235281914,beds
0.9692630257056998,0.4494368082802722,0.07935036521675065,-0.5114169198048633,-0.37520711872569246,0.663726894705877,-0.7974817055822828,0.4973507996434525,-0.49268792904500425,0.5776378396948887,0.6727576789367191,-1.0,-1.0,0.125132165682301,0.29587551346525,-0.30942098470208457,price
1.0,0.4072186472181061,0.1565483981385678,-0.4163267080605427,-0.3019740450034144,0.45987633477521794,-0.9346000025416066,0.6065302915580102,-0.2141903850009207,0.695609272971152,0.5780629491885618,0.492952129385438,0.35416711509916254,-0.04565130195785605,-0.11328269108851918,1.0000000000000004,weekly_price
0.9852357147550845,0.3867836470180428,0.13510917856233773,-0.43386611188031865,-0.35858441531011787,0.3253236948711029,-1.0,0.49996816824435153,-0.38657999815979616,0.7833247883008543,0.6144790106890756,0.8732484729826964,0.7038538719810403,-0.15762904895958862,0.15881743201674614,-1.0,monthly_price
0.7705135790921425,0.6359452425950278,-0.03928703407327061,-1.0,-0.22415397470069198,0.38705977787870194,-0.5087693842457843,-1.0,0.9271604716879147,0.4590717760370082,0.2702050183406084,0.4343908858350636,-0.2609366939094365,0.09997770540366746,0.08087038074111152,-0.10968927117171867,cleaning_fee
0.9453358412674715,0.26047112309894493,0.44708564943488294,-0.5007851965134548,-0.29888143539695056,0.07890619787137654,-0.9215679608382116,-0.3928554726392922,-0.8745424529781268,-0.41882747037028956,-0.22889706158542467,-0.7918406892762248,1.0,-0.032853634747121774,0.10239568916560304,-0.06434971740598316,guests_included
-0.377537414732657,1.0,0.42201091118127154,0.33074146809794014,1.0,0.5489699134578501,-0.4873682059535175,0.11560496376432527,-0.2930986885075423,0.30475322396911864,0.0806114676732339,0.16012246753127268,-0.013251607184115555,0.032496654426072524,0.08909865857537791,-0.15970535954078358,minimum_nights
-0.23394090194365247,-0.735985394386063,-0.038779802097790084,-0.6427566878385753,0.025346330992237043,-1.0,-0.009108833797132787,0.484616240443132,-0.048765728859261115,0.34738474488582005,0.25979963568197806,0.0452447955864379,-0.09804224857163257,0.10577274845035611,0.04071177926697778,-0.1177918204129138,maximum_nights
-0.5069066239052444,-0.9403608122634179,0.9999999999999998,-0.6201117601362797,-0.12271273595258714,0.9131814888588428,-0.8849562871623928,0.11752422420186837,-0.12544682704711063,0.5372435772973772,0.20443363293668204,0.1789365799694933,0.24786776364892749,1.0,0.03597680574460993,-0.16471139234183707,number_of_reviews
-0.6700244014811224,-0.15439364740790051,-1.0,-0.2234257253830847,-0.3780693971652339,0.6796335728844474,-0.8479552683360554,0.11413249216543342,-0.5062430434479974,0.9999999999999998,-1.0,0.14328421910077194,-0.00537819259264849,0.03819391850569409,0.07574573495836678,-0.1023435857770515,review_scores_rating
-1.0,-0.20920356186733247,-0.7581476455583176,-0.3133658817598399,-0.2777733151591776,0.8267715833291667,-0.5847818475695046,0.044315423045964586,-0.5151951752425936,-1.0,1.0,0.4064478606533015,0.04149434691929921,0.06967901392724629,0.038709595535584285,-0.10785543357518124,review_scores_accuracy
-0.46399216580113123,-1.0,0.9118304882579222,-0.6226220486072525,-0.10369171419867851,0.8261957863111813,-0.7014767670522661,-5.048840779631192e-05,-0.16238606460415628,0.360374961523215,0.12295934018279908,0.1482548176925973,-0.20537370065801008,-1.0,0.18708757391024555,-0.07720761784032282,reviews_per_month
